Tabanan,19.11,18.74
Badung,13.75,11.89
Gianyar,21.01,19.85
Klungkung,8.76,9.66
Bangli,9.56,10.08
Karang Asem,24.69,25.99
Buleleng,35.25,34.26
Kota Denpasar,20.48,19.83
NUSA TENGGARA BARAT,713.89,735.96
Lombok Barat,100.25,105.04
Lombok Tengah,128.1,128.82
Lombok Timur,183.84,193.56
Sumbawa,62.88,63.49
Dompu,30.97,30.81
Bima,71.32,71.95
Sumbawa Barat,20.2,20.45
Lombok Utara,59.86,63.84
Kota Mataram,41.8,43.19
Kota Bima,14.66,14.8
NUSA TENGGARA TIMUR,1153.76,1146.32
Sumba Barat,36.95,36.56
Sumba Timur,77.3,77.39
Kupang,94.94,92.02
Timor Tengah Selatan,128.98,130.31
Timor Tengah Utara,56.98,56.94
Belu,34.18,34.08
Alor,43.55,44.32
Lembata,37.92,37.46
Flores Timur,27.89,27.83
Sikka,42.18,43.32
Ende,65.22,63.45
Ngada,20.62,20.31
Manggarai,69.52,69.33
Rote Ndao,48.77,47.66
Manggarai Barat,49.4,49.23
Sumba Tengah,25.37,25.12
Sumba Barat Daya,97.81,96.3
Nagekeo,18.51,18.7
Manggarai Timur,76.69,75.83
Sabu Raijua,30.14,29.49
Malaka,31.12,30.83
Kota Kupang,39.72,39.86
KALIMANTAN BARAT,366.77,378.41
Sambas,41.41,43.84
Bengkayang,17.11,17.69
Landak,42.36,43.16
Pontianak,13.18,14.02
Sanggau,21.16,21.41
Ketapang,53.45,53.84
Sintang,39.19,40.3
Kapuas Hulu,23.93,25.22
Sekadau,11.92,12.28
Melawi,25.34,25.71
Kayong Utara,10.9,11.21
Kubu Raya,25.9,27.37
Kota Pontianak,30.7,31.46
Kota Singkawang,10.23,10.9
KALIMANTAN TENGAH,132.94,134.59
Kotawaringin Barat,11.46,12.76
Kotawaringin Timur,26.64,27.38
Kapuas,18.17,18.23
Barito Selatan,6.12,5.99
Barito Utara,6.78,6.46
Sukamara,2.13,2.01
Lamandau,2.61,2.47
Seruyan,14.53,14.66
Katingan,8.23,8.51
Pulang Pisau,5.21,5.39
Gunung Mas,5.78,5.86
Barito Timur,7.88,7.97
Murung Raya,7.18,7.21
Kota Palangka Raya,10.23,9.69
KALIMANTAN SELATAN,187.87,192.48
Tanah Laut,14.79,15.45
Kota Baru,14.6,15.29
Banjar,15.12,15.91
Barito Kuala,14.25,14.49
Tapin,5.9,6.51
Hulu Sungai Selatan,12.39,12.64
Hulu Sungai Tengah,15.47,16.1
Hulu Sungai Utara,14.72,15.4
Tabalong,14.7,15.22
Tanah Bumbu,16.83,17.35
Balangan,7.06,7.27
Kota Banjarmasin,31.31,29.65
Kota Banjar Baru,10.75,11.22
KALIMANTAN TIMUR,230.27,219.92
Paser,26.77,25.45
Kutai Barat,13.78,13.45
Kutai Kartanegara,58.42,56.34
Kutai Timur,36.98,35.31
Berau,12.3,11.62
Penajam Paser Utara,11.93,11.52
Mahakam Hulu,3.26,3.19
Kota Balikpapan,17.02,15.78
Kota Samarinda,41.92,39.8
Kota Bontang,7.91,7.47
KALIMANTAN UTARA,51.79,48.78
Malinau,6.16,6.23
Bulungan,13.08,12.4
Tana Tidung,1.46,1.34
Nunukan,13.76,12.69
Kota Tarakan,17.33,16.11
SULAWESI UTARA,192.37,191.7
Bolaang Mongondow,18.07,18.3
Minahasa,24.95,24.32
Kepulauan Sangihe,14.64,14.62
Kepulauan Talaud,8.84,9.1
Minahasa Selatan,19.38,19.49
Minahasa Utara,14.33,14.09
Bolaang Mongondow Utara,6.82,6.77
Siau Tagulandang Biaro,5.95,6.35
Minahasa Tenggara,13.73,14.22
Bolaang Mongondow Selatan,8.53,8.74
Bolaang Mongondow Timur,4.3,4.41
Kota Manado,25.55,23.89
Kota Bitung,14.18,14.1
Kota Tomohon,6.06,5.99
Kota Kotamobagu,7.06,7.31
SULAWESI TENGAH,398.73,410.36
Banggai Kepulauan,16.7,17.54
Banggai,28.16,29.3
Morowali,16.5,16.61
Poso,40.2,39.92
Donggala,53.17,55.83
Toli-Toli,30.51,30.79
Buol,22.93,24.51
Parigi Moutong,78.76,81.36
Tojo Una-Una,25.43,26.36
Sigi,30,30.82
Banggai Laut,11.09,11.46
Morowali Utara,18.38,19.25
Kota Palu,26.89,26.62
SULAWESI SELATAN,776.83,767.8
Kepulauan Selayar,17.04,17.36
Bulukumba,30,30.49
Bantaeng,16.84,16.91
Jeneponto,53.24,54.05
Takalar,25.38,25.93
Gowa,57.68,57.99
Sinjai,22.06,22.27
Maros,34.62,34.85
Pangkajene Dan Kepulauan,47.12,47.07
Barru,14.44,14.92
Bone,81.33,76.25
Soppeng,17.23,16.45
Wajo,27.69,27.48
Sidenreng Rappang,15.36,14.44
Pinrang,33.56,31.85
Enrekang,25.25,25.4
Luwu,46.04,46.18
Tana Toraja,28.41,28.87
Luwu Utara,42.2,42.48
Luwu Timur,20.82,20.83
Toraja Utara,27.88,28.64
Kota Makassar,69.98,65.12
Kota Parepare,7.96,7.62
Kota Palopo,14.71,14.37
SULAWESI TENGGARA,301.82,302.58
Buton,13.68,13.97
Muna,28.73,28.47
Konawe,31.63,31.25
Kolaka,23.76,24
Konawe Selatan,34.22,33.89
Bombana,18.84,19.37
Wakatobi,13.75,14.14
Kolaka Utara,19.83,19.8
Buton Utara,9.13,9.18
Konawe Utara,8.78,8.67
Kolaka Timur,26.38,26.29
Konawe Kepulauan,5.88,5.86
Muna Barat,11.32,11.52
Buton Tengah,14.4,14.64
Buton Selatan,11.5,11.81
Kota Kendari,17.46,17.3
Kota Baubau,12.53,12.42
GORONTALO,185.02,186.03
Boalemo,31.63,31.31
Gorontalo,66.73,68.31
Pohuwato,28.92,29.13
Bone Bolango,25.72,25.91
Gorontalo Utara,19.56,19.46
Kota Gorontalo,12.46,11.91
SULAWESI BARAT,152.02,151.4
Majene,24.12,23.76
Polewali Mandar,68.18,68.86
Mamasa,21.86,21.64
Mamuju,20.65,20.57
Mamuju Utara,7.95,7.42
Mamuju Tengah,9.25,9.16
MALUKU,318.19,317.69
Maluku Tenggara Barat,30.74,30.76
Maluku Tenggara,22.59,22.69
Maluku Tengah,74.18,74.8
Buru,24.42,23.89
Kepulauan Aru,25.45,25.62
Seram Bagian Barat,43.15,43.14
Seram Bagian Timur,26.69,26.44
Maluku Barat Daya,21.37,21.49
Buru Selatan,10.07,10.17
Kota Ambon,22.15,21.66
Kota Tual,17.36,17.03
MALUKU UTARA,86.37,84.6
Halmahera Barat,10.56,10.13
Halmahera Tengah,7.7,7.81
Kepulauan Sula,8.81,9.29
Halmahera Selatan,12.41,11.79
Halmahera Utara,8.75,8.79
Halmahera Timur,14.97,14.53
Pulau Morotai,4.43,4.86
Pulau Taliabu,3.89,3.98
Kota Ternate,8.18,7.25
Kota Tidore Kepulauan,6.66,6.17
PAPUA BARAT,208.58,211.5
Fakfak,17.72,18.22
Kaimana,9.52,9.63
Teluk Wondama,10.22,10.48
Teluk Bintuni,19.22,19.59
Manokwari,35.92,36.67
Sorong Selatan,8.71,8.6
Sorong,24.89,25.3
Raja Ampat,8.32,8.3
Tambrauw,4.59,4.67
Maybrat,12.8,13.11
Manokwari Selatan,7.09,7.21
Pegunungan Arfak,10.68,10.74
Kota Sorong,38.91,39.02
PAPUA,911.37,926.36
Merauke,22.89,23.49
Jayawijaya,81.71,83.23
Jayapura,16.61,17.19
Nabire,36.75,37.14
Kepulauan Yapen,27.04,27.19
Biak Numfor,38.02,38.6
Paniai,65.98,65.54
Puncak Jaya,46.07,45.89
Mimika,31.75,31.79
Boven Digoel,13.86,13.54
Mappi,26.91,26.1
Asmat,25.12,25.8
Yahukimo,71.76,73.92
Pegunungan Bintang,23.03,23.01
Tolikara,44.88,45.65
Sarmi,5.7,5.8
Keerom,9.42,9.55
Waropen,9.44,9.68
Supiori,7.78,7.97
Mamberamo Raya,6.98,6.96
Nduga *,36.54,37.6
Lanny Jaya,68.62,70.6
Mamberamo Tengah,17.72,17.79
Yalimo,20.84,21.48
Puncak,42.43,43.09
Dogiyai,28.31,30.37
Intan Jaya,20.46,21.1
Deiyai,30.98,31.87
Kota Jayapura,33.8,34.42
